Avatar	2009	2923	4,121	237	12.3	1233%	2,922,917,914
Titanic	1997	2202	4,120	200	11.0	1101%	2,201,647,264
Star Wars	1977	775	3,946	11	70.5	7049%	775,398,007
Avengers: Endgame	2019	2798	3,309	356	7.9	786%	2,797,501,328
The Exorcist	1973	441	3,084	12	36.8	3678%	441,306,145
Jaws	1975	477	2,723	9	52.9	5295%	476,512,065
The Force Awakens	2015	2070	2,636	306	6.8	676%	2,069,521,700
E.T.	1982	793	2,503	10.5	75.5	7552%	792,910,554
Avengers: Infinity War	2018	2048	2,460	321	6.4	638%	2,048,359,754
Jurassic Park	1993	1110	2,317	63	17.6	1762%	1,109,802,321
Spider-Man: No Way Home	2021	1971	2,244	200	9.9	986%	1,971,439,845
Avatar 2*	2022	2242	2,242	400	5.6	561%	2,054,734,732
The Lion King	1994	1064	2,166	45	23.6	2364%	1,063,611,805
Jurassic World	2015	1672	2,129	150	11.1	1114%	1,671,537,444
Empire Strikes Back	1980	538	2,060	31	17.4	1737%	538,375,067
The Avengers	2012	1519	1,995	220	6.9	690%	1,518,815,515
The Lion King	2019	1663	1,967	260	6.4	640%	1,663,250,487
Furious 7	2015	1515	1,930	190	8.0	798%	1,515,341,399
Grease	1978	396	1,888	6	66.0	6605%	396,271,103
LOTR: The Return of the King	2003	1146	1,878	94	12.2	1220%	1,146,436,214
The Phantom Menace	1999	1027	1,861	115	8.9	893%	1,027,082,707
Harry Potter & the Deathly Hallows: Pt 2	2011	1342	1,815	125	10.7	1074%	1,342,359,942
Avengers: Age of Ultron	2015	1403	1,787	250	5.6	561%	1,402,809,540
Harry Potter & the Sorcerer's Stone	2001	1024	1,741	125	8.2	819%	1,023,842,938
Frozen II	2019	1450	1,715	150	9.7	967%	1,450,026,933
Frozen	2013	1305	1,687	150	8.7	870%	1,304,550,716
Black Panther	2018	1382	1,660	205	6.7	674%	1,382,248,826
The Last Jedi	2017	1333	1,634	317	4.2	420%	1,332,698,830
POC: Dead Man's Chest	2006	1066	1,601	225	4.7	474%	1,066,179,747
Beauty and the Beast	2017	1306	1,601	160	8.2	816%	1,305,611,599
LOTR: Two Towers	2002	948	1,594	94	10.1	1008%	947,939,315
Independence Day	1996	817	1,576	75	10.9	1090%	817,400,891
Top Gun: Maverick	2022	1487	1,574	170	8.7	875%	1,486,657,763
Jurassic World: Fallen Kingdom	2018	1310	1,574	187	7.0	701%	1,310,466,296
Iron Man 3	2013	1215	1,571	200	6.1	607%	1,214,811,252
Finding Nemo	2003	940	1,541	94	10.0	1000%	940,352,645
LOTR: The Fellowship of the Ring	2001	898	1,527	93	9.7	966%	898,182,036
Transformers: Dark of the Moon	2011	1124	1,519	175	6.4	642%	1,123,794,079
Harry Potter & the Chamber of Secrets	2002	903	1,518	100	9.0	903%	902,746,596
The Fate of the Furious	2017	1236	1,515	270	4.6	458%	1,236,005,118
Incredibles 2	2018	1243	1,493	200	6.2	622%	1,243,089,244
Shrek 2	2004	929	1,493	150	6.2	619%	928,760,770
Minions	2015	1159	1,477	74	15.7	1567%	1,159,444,662
Toy Story 3	2010	1067	1,466	200	5.3	533%	1,066,970,811
Skyfall	2012	1109	1,456	200	5.5	554%	1,108,569,499
Captain America: Civil War	2016	1153	1,449	250	4.6	461%	1,153,337,496
Return of the Jedi	1983	475	1,446	43	11.0	1105%	475,106,177
The Dark Knight Rises	2012	1081	1,420	300	3.6	360%	1,081,169,825
The Dark Knight	2008	1006	1,419	185	5.4	544%	1,006,234,167
POC: On Stranger Tides	2011	1046	1,414	379	2.8	276%	1,045,713,802
POC: At World's End	2007	961	1,413	300	3.2	320%	960,996,492
Alice in Wonderland	2010	1025	1,409	200	5.1	513%	1,025,468,216
Transformers: Age of Extinction	2014	1104	1,405	210	5.3	526%	1,104,054,072
Harry Potter & the Goblet of Fire	2005	897	1,400	150	6.0	598%	896,815,106
Spider-Man	2002	825	1,387	139	5.9	594%	825,025,036
Harry Potter & the Order of the Phoenix	2007	942	1,386	150	6.3	628%	942,218,425
Forrest Gump	1994	678	1,381	55	12.3	1233%	678,226,465
Aquaman	2018	1149	1,379	160	7.2	718%	1,148,528,393
Revenge of the Sith	2005	868	1,356	113	7.7	768%	868,390,560
Harry Potter & the Deathly Hallows: Pt 1	2010	977	1,342	125	7.8	782%	977,070,383
Spider-Man: Far from Home	2019	1132	1,339	160	7.1	707%	1,131,927,996
The Hobbit: An Unexpected Journey	2012	1017	1,336	180	5.7	565%	1,017,030,651
Captain Marvel	2019	1128	1,335	152	7.4	742%	1,128,462,972
Raiders of the Lost Ark	1981	390	1,334	20	19.5	1950%	389,925,971
Rogue One	2016	1059	1,330	275	3.8	385%	1,058,682,142
Harry Potter & the Half-Blood Prince	2009	934	1,318	250	3.7	374%	934,483,039
Spider-Man 3	2007	895	1,316	250	3.6	358%	894,983,373
Zootopia	2016	1043	1,310	150	7.0	695%	1,042,533,689
Joker	2019	1105	1,307	70	15.8	1578%	1,104,943,613
Finding Dory	2016	1029	1,293	200	5.1	514%	1,028,570,942
Harry Potter & the Prisoner of Azkaban	2004	798	1,282	130	6.1	614%	797,660,766
The Rise of Skywalker	2019	1074	1,270	275	3.9	391%	1,074,149,279
Toy Story 4	2019	1073	1,270	200	5.4	537%	1,073,394,593
Despicable Me 3	2017	1035	1,269	80	12.9	1294%	1,034,800,131
Spider-Man 2	2004	789	1,268	200	3.9	394%	788,976,453
SuperMario Bros	2023	1264	1263	100	12.6	1264%	1,264,350,750
Despicable Me 2	2013	971	1,255	78	12.4	1245%	970,766,005
Ice Age: Dawn of the Dinosaurs	2009	887	1,250	90	9.9	985%	886,686,817
Aladdin	2019	1051	1,243	183	5.7	574%	1,050,693,953
The Hobbit: The Desolation of Smaug	2013	959	1,240	250	3.8	384%	959,027,992
The Hobbit: The Battle of the Five Armies	2014	962	1,225	300	3.2	321%	962,201,338
The Sixth Sense	1999	673	1,219	40	16.8	1682%	672,806,432
The Matrix Reloaded	2003	742	1,216	150	4.9	495%	741,847,937
The Jungle Book (2016)	2016	967	1,215	177	5.5	546%	966,554,929
Shrek the Third	2007	813	1,196	160	5.1	508%	813,367,380
Ghost	1990	506	1,182	23	22.0	2199%	505,703,557
Jumanji: Welcome to the Jungle	2017	963	1,180	90	10.7	1069%	962,542,945
Transformers: Revenge of the Fallen	2009	836	1,179	200	4.2	418%	836,303,693
Indiana Jones & the Last Crusade	1989	474	1,166	48	9.9	988%	474,171,806
The Lion, the Witch and the Wardrobe	2005	745	1,163	180	4.1	414%	745,013,115
The Lost World: Jurassic Park	1997	619	1,158	73	8.5	847%	618,638,999
Ice Age: Continental Drift	2012	877	1,152	95	9.2	923%	877,244,782
Terminator 2	1991	521	1,152	100	5.2	521%	520,881,154
Inception	2010	837	1,150	160	5.2	523%	836,848,102
The Da Vinci Code	2006	760	1,141	125	6.1	608%	760,006,945
The Secret Life of Pets	2016	894	1,124	75	11.9	1192%	894,328,469
Spectre	2015	881	1,122	300	2.9	294%	880,705,312
The Hunger Games: Catching Fire	2013	865	1,118	78	11.1	1109%	865,011,746
2012	2009	791	1,116	200	4.0	396%	791,217,826
Indiana Jones & the Kingdom of the Crystal Skull	2008	791	1,115	185	4.3	427%	790,653,942
Twilight: Breaking Dawn - Pt 2	2012	849	1,115	136	6.2	624%	848,853,382
Home Alone	1990	477	1,114	18	26.5	2648%	476,684,675
Men in Black	1997	589	1,103	90	6.5	655%	589,390,539
Attack of the Clones	2002	654	1,099	115	5.7	569%	653,779,970
Batman v Superman	2016	874	1,098	250	3.5	349%	873,637,528
Inside Out	2015	859	1,094	175	4.9	491%	858,848,019
Bohemian Rhapsody	2018	911	1,094	52	17.5	1752%	910,809,311
Aladdin	1992	504	1,087	28	18.0	1800%	504,050,219
Pretty Woman	1990	463	1,083	14	33.1	3310%	463,406,268
Back to the Future	1985	383	1,082	19	20.2	2018%	383,336,762
Spider-Man: Homecoming	2017	880	1,079	175	5.0	503%	880,166,924
POC: The Curse of the Black Pearl	2003	654	1,072	140	4.7	467%	654,264,015
Jurassic World: Dominion	2022	1001	1,060	185	5.4	541%	1,001,136,080
Guardians of the Galaxy Vol. 2	2017	864	1,059	200	4.3	432%	863,756,051
Thor: Ragnarok	2017	854	1,047	180	4.7	474%	853,983,879
Transformers	2007	710	1,044	200	3.5	355%	709,709,780
Up	2009	735	1,036	175	4.2	420%	735,099,102
Shrek Forever After	2010	753	1,034	165	4.6	456%	752,600,867
Venom	2018	856	1,028	116	7.4	738%	856,085,151
Fantastic Beasts & Where to Find Them	2016	814	1,023	200	4.1	407%	814,044,001
Armageddon	1998	554	1,020	140	4.0	396%	553,709,788
Fast & Furious 6	2013	789	1,020	160	4.9	493%	788,680,968
The Incredibles	2004	632	1,015	145	4.4	436%	631,607,053
Dr Strange: Multiverse of Madness	2022	956	1,012	200	4.8	478%	955,775,804
Batman	1989	412	1,012	48	8.6	857%	411,569,241
Wonder Woman	2017	823	1,009	200	4.1	411%	822,854,286
Twilight: New Moon	2009	711	1,003	50	14.2	1422%	711,025,481
Ice Age: The Meltdown	2006	667	1,002	80	8.3	834%	667,094,506
The Amazing Spider-Man	2012	758	996	230	3.3	330%	757,930,663
Minions: The Rise of Gru	2022	939	995	80	11.7	1174%	939,220,210
Dances with Wolves	1990	424	991	22	19.3	1928%	424,208,848
Coco	2017	808	990	225	3.6	359%	807,817,888
Monsters, Inc.	2001	580	986	115	5.0	504%	579,707,738
Interstellar	2014	774	985	165	4.7	469%	773,897,851
Guardians of the Galaxy	2014	773	984	170	4.5	455%	773,350,147
The Passion of the Christ	2004	612	984	30	20.4	2040%	612,054,506
Deadpool	2016	783	984	58	13.5	1350%	782,836,791
Madagascar 3	2012	747	981	145	5.2	515%	746,921,274
POC: Dead Men Tell No Tales	2017	795	974	230	3.5	346%	794,881,442
Indiana Jones & the Temple of Doom	1984	333	973	28	11.9	1190%	333,107,271
Top Gun	1986	357	971	15	23.8	2382%	357,288,178
Maleficent	2014	758	965	180	4.2	421%	758,411,779
Mission: Impossible III	2000	546	964	125	4.4	437%	546,388,108
Twilight: Breaking Dawn - Pt 1	2011	712	963	127	5.6	561%	712,205,856
Mockingjay - Part 1	2014	755	961	125	6.0	604%	755,356,711
Monsters University	2013	744	961	200	3.7	372%	743,559,645
Twilight: Eclipse	2010	699	960	68	10.3	1027%	698,509,825
Twister	1996	495	954	92	5.4	538%	494,580,615
MI: Fallout	2018	792	951	178	4.4	445%	791,657,398
X-Men: Days of Future Past	2014	746	950	205	3.6	364%	746,045,700
Jumanji: The Next Level	2019	802	948	132	6.1	607%	801,693,929
Deadpool 2	2018	786	944	110	7.1	714%	785,896,609
War of the Worlds	2005	604	943	132	4.6	457%	603,873,119
Beauty and the Beast	1991	425	940	25	17.0	1700%	424,967,620
MI: Ghost Protocol	2011	695	939	145	4.8	479%	694,713,380
Suicide Squad	2016	747	939	185	4.0	404%	746,846,894
Gravity	2013	723	935	100	7.2	723%	723,192,705
Casino Royale	2006	617	926	150	4.1	411%	616,502,912
Beverly Hills Cop	1984	316	924	13	24.3	2434%	316,360,478
Mrs. Doubtfire	1993	441	921	25	17.7	1765%	441,286,195
Ratatouille	2007	624	917	150	4.2	416%	623,726,085
Rain Man	1988	355	913	25	14.2	1419%	354,825,435
The Hunger Games	2012	694	912	78	8.9	890%	694,394,724
Captain America: The Winter Soldier	2014	714	909	170	4.2	420%	714,421,503
Dawn of the Planet of the Apes	2014	711	904	170	4.2	418%	710,644,566
The Amazing Spider-Man 2	2014	709	902	293	2.4	242%	708,982,323
Toy Story 2	1999	497	901	90	5.5	553%	497,375,381
Kung Fu Panda 2	2011	666	900	150	4.4	444%	665,692,281
Hobbs & Shaw	2019	761	900	200	3.8	380%	760,732,926
Crocodile Dundee	1986	328	892	10	32.8	3282%	328,203,506
Kung Fu Panda	2008	632	892	130	4.9	486%	632,083,197
Saving Private Ryan	1998	482	889	70	6.9	689%	482,349,603
The Day After Tomorrow	2004	553	888	125	4.4	442%	552,639,571
Hancock	2008	629	888	150	4.2	420%	629,443,428
The Bodyguard	1992	411	886	25	16.4	1644%	411,046,449
Mission: Impossible	1996	458	883	80	5.7	572%	457,696,391
No Time to Die	2021	774	881	250	3.1	310%	774,153,007
MI: Rogue Nation	2015	683	870	150	4.6	455%	682,716,636
King Kong	2005	557	869	207	2.7	269%	556,906,378
Robin Hood: Prince of Thieves	1991	390	864	48	8.1	814%	390,493,908
Man of Steel	2013	668	864	225	3.0	297%	668,045,518
Night at the Museum	2006	574	862	110	5.2	522%	574,481,229
Mamma Mia!	2008	611	862	52	11.8	1175%	611,257,819
I Am Legend	2007	585	861	150	3.9	390%	585,410,052
It	2017	702	860	40	17.5	1755%	701,842,551
Men in Black 3	2012	654	859	225	2.9	291%	654,213,485
Iron Man 2	2010	624	857	200	3.1	312%	623,933,331
Fatal Attraction	1987	320	857	14	22.9	2287%	320,145,693
Madagascar 2	2008	604	852	150	4.0	403%	603,900,354
Doctor Strange	2016	678	852	165	4.1	411%	677,796,076
Who Framed Roger Rabbit	1988	330	849	50	6.6	660%	329,803,958
The Matrix	1999	467	847	63	7.4	742%	467,222,728
Fast Five	2011	626	846	125	5.0	501%	626,137,675
Madagascar	2005	542	846	75	7.2	723%	542,063,846
Meet the Fockers	2004	523	840	80	6.5	653%	522,657,936
Big Hero 6	2014	658	837	165	4.0	399%	657,869,686
Thor: The Dark World	2013	645	834	170	3.8	379%	644,783,140
Mockingjay - Part 2	2015	653	832	160	4.1	408%	653,428,261
Quantum of Solace	2008	590	832	220	2.7	268%	589,580,482
Shrek	2001	488	830	60	8.1	814%	488,351,320
Moana	2016	660	830	175	3.8	377%	660,349,731
F9: The Fast Saga	2021	726	827	200	3.6	363%	726,229,501
Iron Man	2008	586	826	140	4.2	418%	585,796,247
Gladiator	2000	465	821	103	4.5	452%	465,380,802
Back to the Future II	1989	333	817	40	8.3	831%	332,500,002
The Batman	2022	771	816	200	3.9	385%	770,836,163
Tangled	2010	592	814	260	2.3	228%	592,462,816
Tarzan	1999	448	812	130	3.4	345%	448,191,819
Justice League	2017	658	807	300	2.2	219%	657,926,987
Thor: Love and Thunder	2022	761	806	250	3.0	304%	760,928,081
The Martian	2015	631	803	108	5.8	584%	630,620,818
Life of Pi	2012	609	800	120	5.1	508%	609,016,565
Troy	2004	497	800	185	2.7	269%	497,409,852
Sing	2016	634	797	75	8.5	846%	634,338,384
Bruce Almighty	2003	485	794	81	6.0	598%	484,592,874
The Hangover Pt II	2011	587	793	80	7.3	733%	586,764,305
How to Train Your Dragon 2	2014	622	791	145	4.3	429%	621,537,519
The Simpsons Movie	2007	536	789	75	7.2	715%	536,414,293
The Crimes of Grindelwald	2018	655	787	200	3.3	327%	654,855,901
